Mtn Range,Plot,EASTING,NORTHING,PJ_cover,Total_cover,Ecog_cover,Pinyon_cover,Juniper_cover,BA_plot,SDI_plot,Plot_pj_density,PJ_dens_per_ha,C_trans_aspect,C_slope,C_elevation,slope_pos,solar_rad,F_trans_aspect,F_slope,F_elevation,Pct_clay,Soil_depth,Soil_ph,dem_masked,Slope_Angl,cum_cwd
Simpson Park,SPR1018240,535728.73,4389227.41,13.38,13.38,19,13.38,0,30.9,90.10,10,100,0.71,24,2164,78,322642,1.82,26,2150,24,51,5,2163.54,14.02,294.5637512
New Pass,NP342120,458640.76,4381943.09,33.4,33.4,32,24.23,9.45,141.19,412.23,46,460,1,32,2084,69,318784,1.09,21,2042,28,58,6,2072.22,17.94,294.1103821
Toiyabe,TOI144240,519637.75,4436164.56,22.13,22.13,22,0,22.13,78.42,224.26,23,230,0.34,8,1840,64,316559,1.93,24,1826,25,48,7,1848.61,6.52,293.9642334
Whistler,WHIS47,579536.57,4387076.54,20.03,20.03,21,17.23,2.8,115.01,329.41,34,340,0.44,19,2069,56,303264,1.57,25,2045,30,76,6,2071.08,7.17,293.4434814
Shoshone,SHO1371,491999.26,4427872.34,9.45,9.45,12,0,9.45,218.12,390.85,6,60,1.67,41,1963,35,309692,1.26,23,1918,21,36,7,1944.63,17.51,293.3945618
Roberts,ROB953120,567260.34,4401820.6,33.82,33.82,23,14.64,19.47,79.25,249.74,38,380,0.16,4,2063,77,326603,1.87,13,2043,16,201,6,2063.9,3.91,293.0762024
New Pass,NP92,462902.22,4391836.36,39.56,39.57,51,30.81,8.75,213.46,651.41,87,870,0.02,11,1959,36,320723,2,29,1928,23,69,6,1954.46,5.64,292.6706543
Toiyabe,TOI144360,519682.56,4436281.3,25.77,25.77,20,13.66,12.32,45.6,152.96,30,300,0.46,35,1841,87,309465,0.81,30,1812,25,48,7,1839.2,5.37,292.0480652
Fish Creek,FC795120,576764.79,4347344.06,14.64,14.64,19,0,14.64,233.68,529.04,21,210,0.37,32,2180,66,311536,0.13,24,2151,16,23,6,2181.81,7.81,290.9068604
Whistler,WHIS25240,574094.89,4389951,29.06,29.06,30,22.2,6.86,206.19,584.79,58,580,1.34,13,2063,89,314105,2,16,2046,19,48,7,2067.23,7.17,290.8941345
Whistler,WHIS41,575653.9,4387902.32,36.07,36.06,29,23.39,12.68,180.59,495.61,43,430,1.99,14,2068,60,321212,1.98,5,2052,34,201,8,2073.87,6.53,289.5634766
New Pass,NP342240,458571.75,4381943.02,14.64,14.64,16,14.01,0.84,31.61,101.90,15,150,1.17,36,2099,80,314673,1.64,22,2056,28,58,6,2087.94,14.71,289.4460449
Whistler,WHIS64120,577132.18,4387481.29,14.63,14.64,13,10.5,4.13,84.88,202.72,10,100,1.57,18,2009,84,311539,0.58,25,1983,30,76,6,2013.17,8.27,288.7446594
Roberts,ROB953,567209.25,4401871.31,28.15,28.15,32,9.17,19.4,229.5,595.09,40,400,1.5,6,2063,87,324020,0.74,19,2040,16,201,6,2061.12,1.69,288.0632935
Desatoya,DES989,435843.97,4336562.83,30.46,30.46,33,18.91,11.62,116.59,363.55,53,530,0.03,9,2096,52,326752,1.12,22,2075,30,48,6,2097.59,5.22,287.5593872
Fish Creek,FC795240,576690.69,4347342.99,22.69,22.69,21,9.17,13.8,830.88,1709.44,45,450,0.41,25,2161,54,315495,0.46,24,2132,16,23,6,2161.37,13.07,287.5432434
Simpson Park,SPR1620240,518997,4368012,25.7,25.7,24,14.99,10.71,718.86,1501.74,43,430,0.03,12,2145,100,320532,0.05,16,2107,32,38,6,2140.29,10.13,287.0262451
Whistler,WHIS64360,577159,4387603,10.01,10.01,10,7.77,2.24,18.33,56.70,8,80,1.16,21,2012,100,326606,1.09,22,1986,30,76,6,2014.56,9.17,286.5152893
Whistler,WHIS25360,574124.6,4390035.81,22.27,22.27,29,9.31,12.96,140.45,417.32,50,500,1.92,17,2058,78,321961,1.91,40,2049,19,48,7,2068.22,7.01,285.9458008
Roberts,ROB953240,567159.66,4401817.41,37.25,37.25,30,28.15,10.78,188.03,546.73,60,600,1.34,7,2064,98,322882,1.98,24,2038,16,201,6,2063.78,2.26,285.513855
Simpson Park,SPR1620,519057,4368019,29.62,29.62,35,26.4,4.13,222.12,646.08,71,710,0,38,2160,93,300121,1.99,25,2117,32,38,6,2148.13,14.42,285.4906616
Whistler,WHIS64240,577095.44,4387549.63,4.83,4.83,9,4.83,0,27.68,74.58,6,60,1.5,22,2016,95,317558,0.74,32,1992,30,76,6,2023.18,8.27,285.1176453
Shoshone,SHO721,498816.93,4454206.96,28.89,28.89,20,0,28.89,106.78,312.13,35,350,1.56,37,1922,55,310605,1.57,32,19,22,76,6,1908.29,18.51,285.0843201
Simpson Park,SPR1620360,519073,4368069,35.71,35.71,23,35.71,0,278.49,852.06,115,1150,0.01,48,2183,80,283528,0.03,47,2147,32,38,6,2169.48,17.58,284.5465698
Whistler,WHIS14,576866.49,4391375.52,20.94,20.94,23,19.96,0.98,96.59,291.18,37,370,1.62,43,2083,94,310702,1.87,27,2074,30,76,6,2098.1,18.37,283.4998474
Simpson Park,SPR1620120,519121,4367966,20.58,20.59,36,10.29,10.29,725.95,1565.50,51,510,0.03,35,2155,82,287995,0,24,2114,32,38,6,2150,15.33,283.2431946
Sulphur Springs,SS501,575898.02,4419935.86,27.94,27.94,24,5.88,22.06,284.28,668.67,31,310,1.94,50,2249,91,296973,1.94,39,2242,15,18,6,2269.41,12.94,283.1280518
New Pass,NP342,458609.71,4381997,18.35,18.35,18,14.43,3.92,49.04,162.16,30,300,1.19,24,2098,78,322867,1.09,23,2058,28,58,6,2085.47,14.71,283.0127869
Fish Creek,FC795,576731.85,4347390.08,14.21,14.22,26,3.5,10.71,415.56,875.87,26,260,0.32,27,2170,59,313363,0.34,20,2142,16,23,6,2164.61,13.1,282.9790649
New Pass,NP92120,462864.08,4391765.35,42.02,42.02,49,21.85,21.85,221.49,674.02,89,890,0.74,13,1968,33,319787,0.43,19,1935,23,69,6,1955.13,5.42,282.9514465
Shoshone,SHO512,505547.55,4467270.35,23.04,23.04,27,17.58,5.46,647.48,1286.08,6,60,0.25,47,2197,42,293600,0.58,50,2178,8,18,3,2180.2,20.4,280.9955444
Fish Creek,FC677,575253.75,4355032.24,30.95,30.95,19,22.06,12.18,295.98,858.02,93,930,1.34,11,2195,21,321044,1.09,14,2169,16,23,6,2197.89,6.01,280.4127808
Fish Creek,FC795360,576732.07,4347450.87,24.3,24.3,32,4.69,19.75,433.31,925.52,29,290,0.36,28,2167,53,314268,0.18,32,2138,16,23,6,2162.71,13.1,279.6213989
Simpson Park,SPR1575360,520218.35,4370193.88,14.91,14.92,26,10.71,4.2,163.95,435.25,33,330,1.37,11,2185,21,309179,0.18,47,2127,24,43,6,2182.68,5.38,279.3427124
Roberts,ROB953360,567210.63,4401945.47,10.78,10.78,15,3.01,13.03,263.88,588.62,22,220,0.25,12,2060,63,322829,0.13,12,2024,16,201,6,2055.15,4.43,278.8981323
Fish Creek,FC791240,578431.07,4348135.09,23.32,23.32,26,17.02,6.3,252.76,612.31,32,320,0.15,8,2209,100,325636,0.09,13,2184,33,86,6,2207.71,15.35,278.7159729
Shoshone,SHO446120,522291.84,4467464.14,2.17,2.17,13,2.17,0,42.53,118.64,11,110,1.36,52,2139,49,307880,1.57,54,2140,0,201,0,2149.77,19.99,278.528595
Desatoya,DES998360,437876.2,4335716.84,24.72,24.72,33,17.44,7.28,282.5,621.72,22,220,0.97,36,2090,42,301386,0.66,49,2091,25,48,7,2116.67,19.11,277.9065552
Simpson Park,SPR1018,535782.39,4389267.25,8.61,8.61,13,8.61,0,24.02,75.02,11,110,1.47,26,2164,81,316409,1.57,23,2148,24,51,5,2166.07,15.61,277.8860474
Ravenswood,RAV252,481382.82,4405624.61,38.1,38.1,40,28.22,10.36,123.17,369.46,46,460,0.07,24,2107,50,320007,0,17,2103,28,17,7,2116.93,14.96,277.4980469
Simpson Park,SPR1018360,535779.33,4389323.88,8.68,8.68,19,8.68,0,44.91,123.94,11,110,1.42,36,2167,82,312958,1.42,25,2157,24,51,5,2174.16,16.85,276.9163208
Fish Creek,FC791,578476.26,4348182.55,31.02,31.02,31,20.66,11.13,311.63,800.24,53,530,1.78,15,2210,100,325081,1.5,11,2190,33,86,6,2211.66,15.35,276.252594
Fish Creek,FC791120,578494.92,4348132.88,33.41,33.4,35,19.54,13.87,164.39,465.76,46,460,1.71,24,2209,100,312712,1.14,14,2188,33,86,6,2209.88,15.35,275.8622437
Diamond,DIA658120,594685.53,4386560.47,30.74,30.74,38,0,30.74,198.93,545.11,24,240,0.12,12,1922,31,323739,1,14,1904,36,107,7,1925.04,5.63,275.724762
Simpson Park,SPR1042,524907.63,4387973.2,33.82,33.82,28,33.82,0,86.65,206.11,10,100,0.37,40,2204,52,308458,0.4,47,2180,32,201,7,2198.28,18.86,275.2561951
Shoshone,SHO345,505282.59,4466756.47,18.56,18.56,25,18.56,0,97.96,268.09,23,230,1.21,57,2080,61,282747,1.57,49,2066,22,36,5,2086.02,20.72,275.2329712
Diamond,DIA658360,594640.11,4386685.4,41.46,41.46,35,1.75,40.13,247.41,685.87,14,140,0.28,22,1916,19,318374,0.2,14,1907,36,107,7,1915.67,3.74,275.2212524
Shoshone,SHO424240,503519.79,4463336.99,27.03,27.03,43,18,16.39,117.88,329.92,31,310,0.14,60,1995,82,286256,0.03,42,1972,22,36,5,1978.54,25.4,274.836853
Diamond,DIA658240,594591.81,4386555.1,26.75,26.75,39,3.22,23.53,169.04,418.87,62,620,1.47,8,1910,9,322825,0.16,16,1898,36,107,7,1927.39,6.35,274.8154297
Diamond,DIA848,593572,4377741,17.44,17.44,19,0,17.44,104.32,255.65,10,100,0.81,61,2317,12,323403,0.29,61,2317,19,79,8,1927.98,5.63,274.1592712
Fish Creek,FC791360,578490.17,4348238.12,20.44,20.45,33,8.61,11.83,356.51,839.08,39,390,0.38,13,2212,100,323221,1.91,19,2191,33,86,6,2212.26,10.94,273.3086243
Diamond,DIA367,605766.92,4413836.65,28.36,28.36,22,28.36,0,96.45,262.47,6,60,0.34,24,2001,33,295373,0.22,38,1989,12,48,7,2095.39,13.94,272.331604
Whistler,WHIS55360,579300.48,4386721.08,56.86,66.95,34,55.04,1.82,348.89,1050.73,118,1180,0.02,34,2281,71,283691,0.03,40,2244,30,76,6,2267.29,15.23,272.1646423
Whistler,WHIS55120ACT240,579237.14,4386612.61,33.61,33.61,27,30.11,3.64,199.87,540.08,44,440,0.14,34,2290,100,326139,0.03,25,2260,30,76,6,2282.12,15.23,271.2938843
Shoshone,SHO446,522273.64,4467547.1,8.26,8.26,4,8.26,0,20.49,77.03,24,240,1.34,48,2158,56,308788,1.42,57,2165,0,201,0,2180.02,21.05,269.931366
Whistler,WHIS64,577136.98,4387556.26,12.04,12.04,10,4.48,7.56,57.88,142.66,8,80,0.13,14,2302,99,321395,0.03,34,2275,30,76,6,2302.13,15.23,269.7998962
Diamond,DIA333120,606339.1,4415802.31,34.03,34.03,55,25.14,11.2,331.65,741.62,54,540,0.03,14,2027,93,322684,0,22,2020,20,36,6,2048.04,2.46,269.7582703
Whistler,WHIS20240,576745.78,4390272.32,28.08,28.08,28,19.12,8.96,106.13,344.37,59,590,1.41,16,2146,63,321989,0.03,24,2129,30,76,6,2145.82,10.37,269.4999084
Simpson Park,SPR1575240,520126,4370140,48.67,48.67,38,38.24,14.57,337.14,867.70,58,580,1.98,43,2174,5,322880,0.58,11,2147,23,42,6,2187.43,10.96,269.412323
Whistler,WHIS20120,576810.19,4390272.57,30.67,30.67,26,28.78,2.8,133.77,438.15,78,780,1.14,10,2150,51,325284,0.66,19,2134,30,76,6,2150.53,14.22,268.9095764
Simpson Park,SPR1018120,535843.09,4389243.42,6.72,6.72,11,6.72,0,22.3,64.62,7,70,1.52,34,2143,72,312385,1.95,28,2130,24,51,5,2150.19,15.61,268.4237366
Shoshone,SHO652,520494.67,4468757.37,11.69,11.69,16,11.69,0,76.91,179.23,8,80,0.03,43,2164,40,309622,0.74,37,2125,8,148,3,2142.47,22.6,268.2250977
Desatoya,DES55,451652.02,4373938.9,24.93,24.93,27,19.54,6.02,121.11,370.52,50,500,1.36,53,2142,32,306325,1.22,44,2101,29,36,7,2123.58,22.32,267.5569763
Shoshone,SHO446360,522295.14,4467611.54,9.31,9.31,13,9.31,0,87.49,246.91,24,240,0.98,50,2168,59,307249,1.34,59,2171,0,201,0,2174.44,21.05,266.7721863
Simpson Park,SPR1575120,520212,4370115,41.81,41.81,34,24.16,17.65,259.92,678.40,48,480,1.8,30,2180,10,313961,2,22,2167,24,43,6,2191.21,13.7,265.7812805
New Pass,NP342360,458606.59,4382062.81,26.4,26.4,30,8.33,19.4,137.29,406.48,48,480,1.75,20,2105,76,321950,1.42,12,2072,28,58,6,2097.12,14.15,265.3973999
Shoshone,SHO446240,522247.43,4467476.81,3.64,3.64,11,3.64,0,47.49,121.72,8,80,1.47,54,2166,58,302586,1.03,53,2169,0,201,0,2185.91,28.1,263.0753479
Desatoya,DES133,442457.21,4369674.66,26.05,26.05,31,26.05,0,85.93,288.53,52,520,0.01,17,2137,16,322794,0.12,24,2128,23,39,6,2147.18,15.15,262.396698
New Pass,NP308,459013,4382770.85,17.23,17.23,13,12.89,4.34,71.75,226.88,35,350,1.1,24,2132,100,322352,0.91,22,2093,32,91,7,2126.33,9.94,261.5080566
New Pass,NP25,457220.33,4399675.6,19.47,19.47,13,7,12.82,97.33,289.77,35,350,0.28,17,1906,53,320223,0.02,16,1891,28,58,6,1910.47,9.11,260.399292
Whistler,WHIS55240,579329.8,4386616.58,16.74,16.74,21,14.36,2.38,187.32,498.06,37,370,0.33,39,2258,100,322696,0.91,37,2235,30,76,6,2252.93,14.91,260.2612915
Diamond,DIA333,606296.81,4415843.81,39.64,39.64,82,25.63,18.28,339.31,793.78,27,270,0.09,16,2040,89,321558,0.03,14,2032,20,36,6,2045.34,7.51,259.6352234
Diamond,DIA617,597812.95,4394927.95,19.68,19.68,30,14.5,5.18,179.83,460.04,37,370,0.69,42,2165,63,296989,0.58,49,2159,19,56,8,2179.97,18.15,259.5518188
Diamond,DIA624240A,597762.44,4392456.41,27.59,27.59,41,19.47,8.12,306.86,844.25,27,270,0.23,37,2143,51,309646,0,45,2145,19,56,8,2187.78,23.95,259.3344116
Ravenswood,RAV413120,477860.14,4397259.65,22.34,22.34,24,12.96,10.01,251.81,658.60,47,470,0.79,10,2218,100,321863,1.71,14,2194,24,201,7,2221.5,0.31,259.3194275
Whistler,WHIS55,579298.62,4386674.81,35.99,36.06,25,31.51,4.48,215.2,633.35,70,700,0.19,13,2012,91,296877,0.23,5,1986,30,76,6,2011.82,8.31,259.0645142
Sulphur Springs,SS32240,578982.69,4450378.64,20.51,20.52,25,8.33,12.18,310.33,806.27,56,560,0.37,38,1907,14,307968,0.09,39,1886,16,23,6,1893.02,20.57,258.7318115
Roberts,ROB708,548683.19,4405545.59,26.33,26.33,24,0,26.33,114.98,296.56,20,200,0.34,3,2054,2,326918,0.58,8,2038,16,201,6,2054.27,3.05,258.5114441
Diamond,DIA624360,597823.47,4392529.56,24.23,26.54,28,4.55,19.68,645.41,1291.12,95,950,0.41,51,2169,57,293291,0.32,53,2171,19,56,8,2160.33,16.56,258.2468872
Sulphur Springs,SS604240,574041.06,4413455.13,7.14,7.14,11,2.24,4.9,134.41,342.56,22,220,1.66,73,2212,71,291486,1.96,109,2214,27,48,7,2227.65,29.59,257.6393127
Diamond,DIA333360,606293.13,4415903.27,26.19,26.19,35,10.43,15.76,128.05,332.39,22,220,1.28,44,2118,87,324264,1.09,36,2078,20,36,6,2044.84,3.66,257.6023865
Roberts,ROB546,547175.33,4409640.42,22.62,22.62,27,18.28,4.34,148.01,388.14,28,280,0.84,25,2131,76,315595,0.64,28,2107,13,30,6,2129.02,12.3,256.3954468
Sulphur Springs,SS32120,579060.68,4450377.45,17.37,17.37,16,10.08,8.26,205.83,587.97,60,600,0.34,41,1940,28,305447,0.09,45,1906,16,23,6,1923.14,23.39,255.8734283
Diamond,DIA333240,606256.73,4415800.72,54.97,54.97,54,50.7,4.27,259.1,697.60,23,230,0.01,16,2039,59,322015,0,14,2026,20,36,6,2034.18,7.51,255.7941589
Sulphur Springs,SS186,579866.3,4439668.67,22.48,23.81,16,15.83,6.65,202.7,457.82,17,170,1.95,26,2158,25,312575,1.26,20,2140,15,18,6,2166.81,9.64,255.41008
Shoshone,SHO1371360,491996.98,4427938.08,3.15,3.15,6,0,3.15,9.6,27.81,3,30,1.83,27,1963,35,318665,1.97,35,1923,21,36,7,1947.23,16.67,255.2575073
Toiyabe,TOI1596240,507283.51,4389656.46,29.9,29.9,32,25.7,7.84,164.4,479.00,53,530,1.14,35,2275,100,316178,1.34,30,2259,16,37,6,2282.87,15.81,254.4454498
Toiyabe,TOI1596120,507372.66,4389650.05,45.52,45.52,34,45.52,0,238.53,687.87,73,730,0.97,36,2251,89,315005,1.02,37,2233,15,38,6,2242.52,17.33,254.3367767
