Plot,Number,Spp,LiveDead,Diam,DecayClass,HeightClass,Cones,MortalityCause1,MortalityCause2,MortalityCause3,DMR,BranchesBole,PreviousCurrent,PerDeadCrown,Easting,Northing,Cored,Misc
DES1014120,9,Juos,L,10,,2,,,,,0,,,0,451720.353,4373524.672,,
DES1014120,10,Juos,L,12,,1,,,,,0,,,5,451723.353,4373521.672,,
DES1014120,11,Pimo,L,18,,3,0,,,MT,6,,,0,451721.353,4373519.672,,
DES1014120,12,Juos,L,17,,4,,,,,0,,,5,451726.353,4373516.672,,
DES1014120,13,Pimo,D,17,1,4,,IPS,RWB,,,Both,Previous,100,451726.353,4373516.672,,
DES1014120,14,Pimo,L,14,,4,0,,,MT,2,,,5,451725.353,4373516.672,,
DES1014120,15,Pimo,L,6,,1,0,,,,0,,,0,451724.353,4373515.672,,
DES1014120,16,Pimo,L,12,,3,0,,,,0,,,5,451723.353,4373514.672,,
DES1014120,17,Pimo,L,26,,6,1,IPS,RWB,,0,Branches,Previous,30,451723.353,4373512.672,,Scars on bole
DES1014120,18,Pimo,L,9,,2,0,,RWB,MT,1,Both,Previous,5,451722.353,4373513.672,,
DES1014120,19,Pimo,L,18,,4,0,,,MT,3,,,10,451721.353,4373513.672,,
DES1014120,20,Pimo,L,11,,2,0,,,MT,3,,,5,451719.353,4373515.672,,
DES1014120,21,Pimo,D,20,1,3,,IPS,RWB,,,Branches,Previous,100,451721.353,4373517.672,,
DES1014120,22,Pimo,L,7,,1,0,,,MT,3,,,5,451720.353,4373517.672,,
DES1014120,23,Pimo,L,6,,2,0,,,,0,,,0,451717.353,4373517.672,,
DES1014120,24,Juos,L,32,,5,,,,MT,4,,,20,451713.353,4373517.672,,Cankers
DES1014120,25,Pimo,L,22,,6,0,,RWB,MT,3,Branches,Previous,30,451711.353,4373515.672,,
DES1014120,26,Juos,L,40,,5,,,,MT,5,,,40,451711.353,4373512.672,,
DES1014120,27,Juos,L,17,,3,,,,MT,1,,,20,451711.353,4373511.672,,Cankers
DES1014120,28,Pimo,L,11,,3,0,,,,0,,,15,451712.353,4373506.672,,
DES1014120,29,Pimo,L,25,,5,0,,RWB,MT,2,Branches,Previous,25,451712.353,4373503.672,,
