XCoord,YCoord,COMMENT,PLOT
437866.44474559,4335714.99097183,23,DES998360
437865.06503769,4335707.72652755,21,DES998360
437864.81481451,4335708.77728192,22,DES998360
437861.50826715,4335712.55409017,24,DES998360
437873.85979124,4335711.55871954,13,DES998360
437880.55886418,4335708.16755949,3,DES998360
437888.61697962,4335709.63409573,4,DES998360
437877.33920367,4335713.98467605,1,DES998360
437891.62352641,4335721.46440969,5,DES998360
437874.43907574,4335704.34408516,2,DES998360
437870.89056010,4335701.32702939,16,DES998360
437867.49916666,4335704.25089802,18,DES998360
437866.51141828,4335706.57721979,20,DES998360
437864.62137999,4335709.48888322,25,DES998360
437862.84437261,4335715.95398382,12,DES998360
437862.61499080,4335709.85091110,13,DES998360
