"","X","plot","year","Pndjfm","VPDaso","VPDmjj","logP","vpdtot","tmean","tmax","vpdmax","ppt_tot","stdP","stdVPD","MAP_anom","fdsi","MAT_anom"
"3247",3247,"FC795240",1918,18.5109996795654,8.108,0,2.91836513266705,4.054,8.04658376177151,20.2250003814697,19.0535,315.333002090454,-1.02201359466777,1.62617902019013,44.1542036402828,-1.36034623296029,0.35873851185333
"3248",3248,"FC795240",1919,37.423999786377,6.9415,0,3.62231220413364,3.47075,7.56866688032945,21.7080001831055,21.475,200.832000255585,0.158309324500904,0.79981562747962,-70.3467981945861,-0.378240648608189,-0.11917836958873
"3249",3249,"FC795240",1920,36.287000656128,2.6598,0,3.59145956848798,1.3299,7.06066705659032,20.0770015716553,18.8297,304.390995979309,0.106578058834205,-2.23339494994735,33.2121975291379,1.29759551785757,-0.62717819332786
"3250",3250,"FC795240",1921,42.3469982147217,3.3965,0,3.74589753817794,1.69825,8.45566708842913,20.556001663208,19.5795,275.544998168945,0.365527463702336,-1.71150732765003,4.36619971877388,1.11927618751305,0.767821838510951
"3251",3251,"FC795240",1922,49.483998298645,7.4449,0,3.90164935061866,3.72245,7.21508375679453,21.3380012512207,20.854,303.036002159119,0.626679816453572,1.15643057123484,31.8572037089478,-0.371862000651941,-0.47276149312365
"3252",3252,"FC795240",1923,50.3260002136231,6.434,0,3.91852184641276,3.217,6.98375033711394,21.601001739502,21.292,303.125997543335,0.654970286428627,0.440296191731158,31.9471990931639,0.0416210586591473,-0.70409491280424
"3253",3253,"FC795240",1924,31.6579999923706,4.2882,0,3.45499088102255,2.1441,7.49375043312708,20.476001739502,19.4556,181.328995987773,-0.122241871091392,-1.07981573975465,-89.8498024623981,0.550910390982394,-0.194094816791099
"3254",3254,"FC795240",1925,47.8839979171752,4.2446,0,3.86878137589182,2.1223,7.77583359926939,21.0450000762939,20.3628,291.702001571655,0.571569389193862,-1.11070253265836,20.5232031214838,0.873483949533983,0.0879883493512104
"3255",3255,"FC795240",1926,31.4179992675781,5.304,0,3.44738095376557,2.652,8.60900028298299,20.1480007171631,18.9334,192.015000104904,-0.135001596813251,-0.360210138112708,-79.1637983452671,0.142316974745286,0.92115503306481
"3256",3256,"FC795240",1927,45.8460006713867,6.58,0,3.82528796853787,3.29,7.77391704420248,20.4320011138916,19.3844,256.072998046875,0.498643074683235,0.543724443197711,-15.1058004032961,-0.0850827353300948,0.0860717942843001
"3257",3257,"FC795240",1928,41.1800003051758,7.4558,0,3.71795270901042,3.7279,8.42558369288842,21.07200050354,20.4173,179.852000236511,0.318671778558339,1.16415226946077,-91.3267982136601,-0.511709688332363,0.73773844297024
"3258",3258,"FC795240",1929,28.9910001754761,6.2321,0,3.36698544304474,3.11605,8.05716701348622,21.689001083374,21.4426,215.805998563766,-0.269802447258398,0.297267671381179,-55.3727998864051,-0.285182972767155,0.36932176356804
"3259",3259,"FC795240",1930,6.46099996566772,6.8716,0,1.86578409926226,3.4358,7.77283376455306,21.0280017852783,20.3399,307.249999046325,-2.78689843952061,0.750297581058305,36.0712005961539,-1.64640195878172,0.0849885146348806
"3260",3260,"FC795240",1931,28.8730006217956,4.7094,0,3.36290692390937,2.3547,8.09075044716398,22.9340019226074,23.6238,207.034999847412,-0.27664098641407,-0.781432318400463,-64.1437986027591,0.315880064282068,0.402905197245801
"3261",3261,"FC795240",1932,59.8540000915527,6.6587,0,4.09190826505135,3.32935,6.86316692829132,19.5970001220703,18.0864,270.9739985466,0.945690955761528,0.59947652121427,-0.204799903571143,0.0803971686550812,-0.82467832162686
"3262",3262,"FC795240",1933,20.7589998245239,5.3268,0,3.03297987912764,2.6634,7.41291693846385,21.4300003051758,21.0049,195.795001864433,-0.829836629089527,-0.344058328979575,-75.3837965857381,-0.17245545257083,-0.27492831145433
"3263",3263,"FC795240",1934,27.2110004425048,8.6912,0,3.30362131957624,4.3456,9.43875046322743,20.8240013122559,20.0111,200.673998832703,-0.376046411065348,2.03932529591131,-70.5047996174681,-1.30748258657909,1.75090521330925
"3264",3264,"FC795240",1935,54.1310005187989,6.6512,0,3.99140704426635,3.3256,7.39625034077714,19.7220001220703,18.2813,254.993000984192,0.777178436702634,0.594163426104688,-16.1857974659791,0.00922699353053374,-0.29159490914104
